Cluster ID,confidence_score,Id,ln,dob,gn,fn,canonical_gn,canonical_ln,canonical_Id,canonical_fn,canonical_dob
27,,1,SMITH JR,01/03/68,F,WILLIAM,,,,,
28,,2,ROTHMEYER JR,01/03/68,F,WILLIAM,,,,,
29,,3,ASBY JR,01/03/68,F,WILLIAM,,,,,
1,0.791089,4,SALTER JR,01/03/68,F,WILLIAM,b'f',b'salter jr',b'4',b'william',b'01/03/68'
1,0.791089,5,SALTER JR,01/03/68,F,WILLIAM,b'f',b'salter jr',b'4',b'william',b'01/03/68'
2,0.7388106585,6,BLAND JR,21/02/62,F,WILLIAM,b'f',b'bland',b'11',b'william',b'21/02/62'
2,0.7388106585,7,BLAND JR,21/02/62,F,WILLIAM,b'f',b'bland',b'11',b'william',b'21/02/62'
2,0.7388106585,8,BLAND JR,21/02/62,F,WILLIAM,b'f',b'bland',b'11',b'william',b'21/02/62'
3,0.791089,9,SHAFFER JR,21/02/62,F,WILLIAM,b'f',b'shaffer jr',b'9',b'william',b'21/02/62'
3,0.791089,10,SHAFFER JR,21/02/62,F,WILLIAM,b'f',b'shaffer jr',b'9',b'william',b'21/02/62'
2,0.5979653955,11,BLAND III,21/02/62,F,WILLIAM,b'f',b'bland',b'11',b'william',b'21/02/62'
30,,12,BLAND JR,21/02/62,F,BILL,,,,,
2,0.7632915139,13,BLAND,21/02/62,F,WILLIAM,b'f',b'bland',b'11',b'william',b'21/02/62'
2,0.7388106585,14,BLAND JR,21/02/62,F,WILLIAM,b'f',b'bland',b'11',b'william',b'21/02/62'
5,0.791089,15,BLAND JR,08/06/54,F,WILLIAM,b'f',b'bland jr',b'15',b'william',b'08/06/54'
5,0.791089,16,BLAND JR,08/06/54,F,WILLIAM,b'f',b'bland jr',b'15',b'william',b'08/06/54'
17,0.791089,17,BLAND JR,25/10/53,F,WILLIAM,b'f',b'bland jr',b'17',b'william',b'25/10/53'
17,0.791089,18,BLAND JR,25/10/53,F,WILLIAM,b'f',b'bland jr',b'17',b'william',b'25/10/53'
31,,19,SHAFFER JR,25/10/53,F,WILLIAM,,,,,
8,0.0127313,20,DUNCAN JR,25/10/53,F,THOMAS,b'f',b'duncan jr',b'20',b'thomas',b'25/10/53'
25,0.213953,21,CARLSON JR,25/10/53,F,ROY,b'f',b'carlson jr',b'21',b'roy',b'25/10/53'
25,0.213953,22,CARLSON JR,25/10/53,F,RON,b'f',b'carlson jr',b'21',b'roy',b'25/10/53'
8,0.0127313,23,DUNCAN JR,25/10/53,F,ROY,b'f',b'duncan jr',b'20',b'thomas',b'25/10/53'
7,0.7809737126,24,MICHAELSON,25/10/53,M,ROY,b'm',b'michaelson',b'24',b'roy',b'25/10/53'
7,0.7809737126,25,MICHAELSON JR,25/10/53,M,ROY,b'm',b'michaelson',b'24',b'roy',b'25/10/53'
7,0.7809737126,26,MICHAELSON,25/10/53,M,ROY,b'm',b'michaelson',b'24',b'roy',b'25/10/53'
7,0.7809737126,27,MICHAELSON JR,25/10/53,M,ROY,b'm',b'michaelson',b'24',b'roy',b'25/10/53'
32,,28,MICHAELSON JR,01/05/51,M,ROY,,,,,
11,0.791089,29,MICHAELSON JR,17/06/48,M,ROY,b'm',b'michaelson jr',b'29',b'roy',b'17/06/48'
11,0.791089,30,MICHAELSON JR,17/06/48,M,ROY,b'm',b'michaelson jr',b'29',b'roy',b'17/06/48'
33,,31,MICHAELSON JR,09/04/47,M,ROY,,,,,
34,,32,MICHAELSON JR,09/04/47,M,ROBERT,,,,,
35,,33,MICHAELSON JR,09/04/47,M,BOB,,,,,
12,0.344552,34,MUSTAPHA JR,11/03/47,M,OWEN,b'm',b'mustapha jr',b'34',b'owen',b'11/03/47'
12,0.344552,35,MUSTAPHA JR,11/03/47,M,OWAN,b'm',b'mustapha jr',b'34',b'owen',b'11/03/47'
13,0.7910887003,36,HOUGHTON JR,31/01/46,M,LAWRENCE,b'm',b'houghton jr',b'36',b'lawrence',b'31/01/46'
13,0.7910887003,37,HOUGHTON JR,31/01/46,M,LAWRENCE,b'm',b'houghton jr',b'36',b'lawrence',b'31/01/46'
13,0.7910887003,38,HOUGHTON JR,31/01/46,M,LAWRENCE,b'm',b'houghton jr',b'36',b'lawrence',b'31/01/46'
15,0.7910887003,39,LIND JR,31/01/46,M,LAWRENCE,b'm',b'lind jr',b'39',b'lawrence',b'31/01/46'
15,0.7910887003,40,LIND JR,31/01/46,M,LAWRENCE,b'm',b'lind jr',b'39',b'lawrence',b'31/01/46'
16,0.7910887003,41,LIND JR,31/01/46,M,KENNETH,b'm',b'lind jr',b'41',b'kenneth',b'31/01/46'
16,0.7910887003,42,LIND JR,31/01/46,M,KENNETH,b'm',b'lind jr',b'41',b'kenneth',b'31/01/46'
36,,43,LIND JR,20/01/46,M,JOHN,,,,,
37,,44,CAIN JR,20/01/46,M,JOHN,,,,,
